组号,md5,处置,相对路径
1,00e8e9b53a096bbb49a43733593db5fb,KEEP,260819-光影光效-1151-qt-657-s35-494/4-657张/手电筒-11张/手电筒-4-竖屏-6.jpg
1,00e8e9b53a096bbb49a43733593db5fb,SKIP,260819-光影光效-1501-qt-687-s35-814/4-687张/手电筒-64张/手电筒-4-竖屏-14.jpg
2,07fe40e370e7c713d9bc10e374f8bca1,KEEP,260818-光影光效2-1426-qt-966-s35-460/4-966张/侧逆顶光-106张/侧逆顶光-4-竖屏-70.heic
2,07fe40e370e7c713d9bc10e374f8bca1,SKIP,260819-光影光效-1151-qt-657-s35-494/4-657张/强光-41张/强光-4-竖屏-20.heic
3,0df7a3324f46e128a85f44083786e43c,KEEP,260819-光影光效-1151-qt-657-s35-494/4-657张/软光-3张/软光-4-竖屏-2.jpg
3,0df7a3324f46e128a85f44083786e43c,SKIP,260819-光影光效-1501-qt-687-s35-814/4-687张/台灯-5张/台灯-4-竖屏-3.jpg
4,0e3b16be7f755b0d2f7df07aef95f80d,KEEP,260814-光影光效-6840-qt-1707-s35-5133/4-1707张/强光-104张/4-强光-竖屏-38_1.jpg
4,0e3b16be7f755b0d2f7df07aef95f80d,SKIP,260818-光影光效2-1426-qt-966-s35-460/4-966张/侧逆顶光-106张/侧逆顶光-4-竖屏-64.jpg
5,106289f3b01fb1a5dbb18613f6d49b71,KEEP,260814-光影光效-6840-qt-1707-s35-5133/4-1707张/强光-104张/4-强光-竖屏-91_1.png
5,106289f3b01fb1a5dbb18613f6d49b71,SKIP,260814-光影光效-6840-qt-1707-s35-5133/4-1707张/硬光-326张/4-硬光-竖屏-80.png
6,130647d90a497fb91d9bdc28a91bf45c,KEEP,260814-光影光效-6840-qt-1707-s35-5133/4-1707张/黄金时刻-30张/4-黄金时刻-横屏-2.jpg
6,130647d90a497fb91d9bdc28a91bf45c,SKIP,260818-光影光效-1560-qt-634-s35-926/4-634张/黄金时刻-40张/黄金时刻-4-横屏-5.jpg
7,1a754f1d413954e92989bd8c56d60cf8,KEEP,260818-光影光效2-1426-qt-966-s35-460/4-966张/侧逆顶光-106张/侧逆顶光-4-竖屏-19.heic
7,1a754f1d413954e92989bd8c56d60cf8,SKIP,260819-光影光效-1151-qt-657-s35-494/4-657张/侧逆顶光-16张/顶侧逆光-4-竖屏-8.heic
8,20a8a1d87afe658f6e08f92a244b1444,KEEP,260819-光影光效-1151-qt-657-s35-494/4-657张/车灯-23张/车灯-4-竖屏-16.jpg
8,20a8a1d87afe658f6e08f92a244b1444,SKIP,260819-光影光效-1501-qt-687-s35-814/4-687张/车灯-53张/车灯-4-竖屏-37.jpg
9,21a72e93e7e51a02c35d3d0e882b5fbb,KEEP,260819-光影光效-1151-qt-657-s35-494/4-657张/车灯-23张/车灯-4-横屏-4.jpg
9,21a72e93e7e51a02c35d3d0e882b5fbb,SKIP,260819-光影光效-1501-qt-687-s35-814/4-687张/车灯-53张/车灯-4-横屏-21.jpg
10,2862afe63889a9d245674877a2b45db5,KEEP,260814-光影光效-6840-qt-1707-s35-5133/4-1707张/太阳光斑-16张/太阳光斑-4-横屏-9.jpg
10,2862afe63889a9d245674877a2b45db5,SKIP,260819-光影光效-1151-qt-657-s35-494/4-657张/太阳光斑-8张/太阳光斑-4-竖屏-8.jpg
11,318daad4e192e714eac17ef9549047ca,KEEP,260814-光影光效-6840-qt-1707-s35-5133/4-1707张/强光-104张/4-强光-竖屏-50.jpg
11,318daad4e192e714eac17ef9549047ca,SKIP,260814-光影光效-6840-qt-1707-s35-5133/4-1707张/硬光-326张/4-硬光-竖屏-162.jpg
12,348d6e976f455520fd0c9b1592a27ae7,KEEP,260819-光影光效-1151-qt-657-s35-494/4-657张/车灯-23张/车灯-4-横屏-3.jpg
12,348d6e976f455520fd0c9b1592a27ae7,SKIP,260819-光影光效-1501-qt-687-s35-814/4-687张/车灯-53张/车灯-4-横屏-16.jpg
13,370a538d59ad58a4b7e2e3f4aa683a86,KEEP,260814-光影光效-6840-qt-1707-s35-5133/4-1707张/强光-104张/4-强光-竖屏-63.webp
13,370a538d59ad58a4b7e2e3f4aa683a86,SKIP,260819-光影光效-1151-qt-657-s35-494/4-657张/侧顶光-34张/侧顶光-4-竖屏-5.webp
14,37861f2eb4e30ad2482a082bd86354a7,KEEP,260819-光影光效-1151-qt-657-s35-494/4-657张/车灯-23张/车灯-4-竖屏-18.jpg
14,37861f2eb4e30ad2482a082bd86354a7,SKIP,260819-光影光效-1501-qt-687-s35-814/4-687张/车灯-53张/车灯-4-竖屏-39.jpg
15,37df2d266eb999f2e6453943e2a1182d,KEEP,260814-光影光效-6840-qt-1707-s35-5133/4-1707张/舞台灯光-1张/戏剧-2张/戏剧-舞台光-横屏-1.jpg
15,37df2d266eb999f2e6453943e2a1182d,SKIP,260818-光影光效-1560-qt-634-s35-926/4-634张/聚光灯-19张/聚光灯-4-横屏-18.jpg
16,3cc87380ddb0615512bb90ed0cf7e741,KEEP,260814-光影光效-6840-qt-1707-s35-5133/4-1707张/强光-104张/4-强光-竖屏-84.jpg
16,3cc87380ddb0615512bb90ed0cf7e741,SKIP,260814-光影光效-6840-qt-1707-s35-5133/4-1707张/硬光-326张/4-硬光-竖屏-148.jpg
17,3cd967dc8eaf9f096ef59f608f1d2717,KEEP,260818-光影光效2-1426-qt-966-s35-460/4-966张/侧逆顶光-106张/侧逆顶光-4-竖屏-9.heic
17,3cd967dc8eaf9f096ef59f608f1d2717,SKIP,260819-光影光效-1151-qt-657-s35-494/4-657张/强光-41张/强光-4-竖屏-39.heic
