源光效,生成目标,进度,prompt状态
百叶窗光,去光,通过,有prompt
百叶窗光,凝胶照明,通过,有prompt
百叶窗光,单灯区域布光,通过,有prompt
斑驳光影,去光,通过,有prompt
侧光,去光,通过,有prompt
侧逆光,去光,已完成初次跑量，通过,有prompt
丛林光,去光,通过,有prompt
单光照明,去光,通过,有prompt
低调光,高调光,通过,有prompt
低调光,太阳光,通过,有prompt
低调光,夕阳光,通过,有prompt
丁达尔光,去光,已完成初次跑量，通过,有prompt
顶光,去光,通过,有prompt
多光布光,去光,通过,有prompt
发丝光,去光,通过,有prompt
发丝光,去光,通过,有prompt
发丝光,单灯区域布光,通过,有prompt
发丝光,阴天照明,通过,有prompt
高调光,低调光,通过,有prompt
高调光,黄金时刻,通过,有prompt
高调光,蓝调时刻,通过,有prompt
高调光,炫光,通过,有prompt
蝴蝶光,去光,通过,有prompt
黄金时刻,去光,通过,有prompt
黄金时刻,蓝调时刻,通过,有prompt
黄金时刻,高调光,通过,有prompt
黄金时刻,月光,通过,有prompt
剪影,去光,通过,有prompt
镜头光晕,去光,已完成初次跑量，通过,有prompt
聚光灯,去光,通过,有prompt
蓝调时刻,去光,通过,有prompt
雷电光效：闪电,去光,通过,有prompt
冷光,去光,已完成初次跑量，通过,有prompt
冷光,镜头光晕,通过,有prompt
冷光,暖光,通过,有prompt
冷暖对比,软光,通过,有prompt
冷暖对比,高调光,通过,有prompt
伦勃朗光,硬光,通过,有prompt
伦勃朗光,单灯区域布光,通过,有prompt
轮廓光,单灯区域布光,通过,有prompt
轮廓光,阴天照明,通过,有prompt
轮廓光,漫射照明,通过,有prompt
漫射照明,太阳光,通过,有prompt
强光,去光,通过,有prompt
软光,轮廓光,通过,有prompt
摄影棚照明,去光,通过,有prompt
手电筒光,去光,通过,有prompt
太阳光,弱光,通过,有prompt
太阳光,蓝调时刻,通过,有prompt
太阳光斑,去光,通过,有prompt
太阳光斑,阴天照明,通过,有prompt
太阳光斑,蓝调时刻,通过,有prompt
体积照明,漫射照明,通过,有prompt
体积照明,斑驳光影,通过,有prompt
舞台灯光,去光,通过,有prompt
舞台灯光,高调光,通过,有prompt
夕阳光,太阳光,通过,有prompt
夕阳光,蓝调时刻,通过,有prompt
夕阳光,阴天照明,通过,有prompt
炫光,去光,已完成初次跑量，通过,有prompt
炫光,阴天照明,通过,有prompt
炫光,高调光,通过,有prompt
眼神光,去光,通过,有prompt
阴天照明,太阳光,通过,有prompt
阴天照明,太阳光,通过,有prompt
阴天照明,硬光,通过,有prompt
阴阳脸,去光,通过,有prompt
阴阳脸,软光,通过,有prompt
阴阳脸,炫光,通过,有prompt
阴阳脸,伦勃朗光,通过,有prompt
硬光,去光,通过,有prompt
硬光,镜头光晕,通过,有prompt
月光,去光,通过,有prompt
月光,高调光,通过,有prompt
月光,太阳光斑,通过,有prompt
烛光,去光,通过,有prompt
